Game No.,Team 1,Team 2,Winner goes to game no.
1,Robert Morris,Boston,13
2,Richmond,Texas,15
3,NC State,UCLA,17
4,Prarie View,NC Central,21
5,Kansas,Siena,37
6,Houston,Marquette,37
7,Auburn,Liberty,38
8,Wisconsin,North Texas,38
9,Iowa,East Tennessee State,39
10,Duke,Belmont,39
11,Providence,Arizona State,40
12,Kentucky,North Dakota State,40
13,Dayton,,41
14,Colorado,Florida,41
15,Butler,,42
16,Maryland,Akron,42
17,Penn State,,43
18,Villanova,Hofstra,43
19,West Virginia,Utah State,44
20,Florida State,Northern Kentucky,44
21,Gonzaga,,45
22,Lousiana State,Oklahoma,45
23,Michigan,Yale,46
24,Oregon,New Mexico State,46
25,Brigham Young,Indiana,47
26,Seton Hall,Eastern Washington,47
27,Arizona,Texas Tech,48
28,San Diega State,UC Irvine,48
29,Baylor,Winthrop,49
30,Saint Mary's,Rutgers,49
31,Ohio State,Stephen F Austin,50
32,Louisville,Vermont,50
33,Virginia,Cincinnati,51
34,Michigan State,Bradley,51
35,Illinois,Souther California,52
36,Creighton,Arkansas Little Rock,52
37,,,53
38,,,53
39,,,54
40,,,54
41,,,55
42,,,55
43,,,56
44,,,56
45,,,57
46,,,57
47,,,58
48,,,58
49,,,59
50,,,59
51,,,60
52,,,60
53,,,61
54,,,61
55,,,62
56,,,62
57,,,63
58,,,63
59,,,64
60,,,64
61,,,65
62,,,65
63,,,66
64,,,66
65,,,67
66,,,67
67,,,
